name,gender,stream,10th_percentage,12th_percentage,numerical_ability,verbal_reasoning,logical_thinking,spatial_awareness,problem_solving,openness,conscientiousness,extraversion,agreeableness,neuroticism,career_1,career_1_score,career_1_courses,career_2,career_2_score,career_3,career_3_score
Yoshita Iyengar,Male,Science(PCM),93,77,64,34,91,69,52,3.14,3.08,2.16,3.26,3.0,Software Engineer,1.0,"B.Tech CSE, B.E. Computer Science, M.Tech, B.Sc Computer Science",Nuclear Engineer,0.9117,Automobile Engineer,0.9117
Peter Krishna,Female,Science(PCB),91,78,92,100,98,100,87,1.94,2.0,2.0,2.16,3.02,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Darsh Pathak,Female,Science(PCM),67,90,64,80,51,100,85,2.1,2.45,2.65,3.21,2.49,Software Engineer,1.0,"B.Tech CSE, B.E. Computer Science, M.Tech, B.Sc Computer Science",Nuclear Engineer,0.9961,Automobile Engineer,0.9961
Om Rajan,Male,Humanities/Arts,60,81,74,68,100,100,45,3.19,3.04,2.52,3.23,2.41,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.9547,Historian,0.9547
Ekbal Panchal,Female,Commerce,82,76,87,54,90,70,64,2.25,3.29,2.87,3.3,3.13,Chartered Accountant,1.0,"CA Foundation, B.Com, M.Com, MBA Finance",Business Development Manager,0.9569,Economist,0.9569
Henry Din,Male,Science(PCB),80,68,65,83,46,56,54,2.59,2.91,2.37,2.33,3.43,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Lucky Nadig,Female,Science(PCM),76,89,95,57,96,100,72,2.55,3.01,2.99,3.02,3.18,Software Engineer,1.0,"B.Tech CSE, B.E. Computer Science, M.Tech, B.Sc Computer Science",Nuclear Engineer,0.9411,Automobile Engineer,0.9411
Imaran Srivastava,Male,Science(PCM),61,87,72,30,50,79,93,3.35,3.19,3.49,2.88,3.37,Software Engineer,1.0,"B.Tech CSE, B.E. Computer Science, M.Tech, B.Sc Computer Science",Nuclear Engineer,0.9145,Automobile Engineer,0.9145
Guneet Buch,Female,Science(PCB),92,75,73,45,80,41,99,2.57,2.5,2.12,3.31,3.23,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Lohit Sharma,Female,Humanities/Arts,65,84,53,100,79,95,56,1.93,2.3,2.81,2.31,3.09,Social Worker,1.0,,Archaeologist,1.0,Historian,1.0
Laban Ghosh,Male,Commerce,72,85,100,92,76,79,88,2.72,2.52,1.92,3.35,2.39,Chartered Accountant,1.0,"CA Foundation, B.Com, M.Com, MBA Finance",Business Development Manager,0.9947,Economist,0.9947
Tristan Kothari,Male,Humanities/Arts,88,95,49,63,61,31,63,2.25,3.46,2.9,2.47,2.34,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.963,Historian,0.963
Wyatt Gole,Male,Commerce,74,74,60,81,34,57,94,3.38,2.16,2.14,2.08,2.29,Business Development Manager,1.0,,Actuary,1.0,Economist,1.0
Aarna Varghese,Female,Humanities/Arts,81,74,79,70,46,43,94,3.47,2.94,2.71,3.26,2.97,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.9162,Historian,0.9162
Umang Misra,Male,Humanities/Arts,92,75,41,100,97,44,37,2.78,3.31,2.23,2.33,2.63,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.9599,Historian,0.9599
Jeet Anne,Male,Commerce,70,72,100,58,53,68,66,3.14,2.51,3.49,2.47,2.4,Business Development Manager,1.0,,Actuary,1.0,Economist,1.0
Avni Ratta,Male,Science(PCB),81,95,70,48,86,58,45,2.44,2.16,2.04,2.85,3.38,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Finn Kumar,Female,Commerce,78,88,85,43,58,44,61,2.44,2.88,2.54,2.26,3.36,Business Development Manager,1.0,,Actuary,1.0,Economist,1.0
Krishna More,Male,Commerce,69,64,51,41,32,90,32,2.25,1.93,1.9,1.99,2.45,Business Development Manager,1.0,,Actuary,1.0,Economist,1.0
Zaitra Kurian,Male,Science(PCM),82,87,100,86,88,77,57,3.35,2.85,2.44,2.93,2.75,Software Engineer,1.0,"B.Tech CSE, B.E. Computer Science, M.Tech, B.Sc Computer Science",Nuclear Engineer,0.9213,Automobile Engineer,0.9213
Hitesh Borah,Female,Humanities/Arts,71,88,36,86,88,77,35,2.56,2.45,2.0,2.35,1.96,Social Worker,1.0,,Archaeologist,1.0,Historian,1.0
Yatan Handa,Male,Commerce,81,94,99,78,37,78,99,2.93,2.95,2.68,2.83,3.05,Business Development Manager,1.0,,Actuary,1.0,Economist,1.0
Ladli Toor,Female,Commerce,77,68,98,41,38,66,30,3.46,3.4,2.15,2.89,2.55,Chartered Accountant,1.0,"CA Foundation, B.Com, M.Com, MBA Finance",Business Development Manager,0.9882,Economist,0.9882
Azad Wason,Female,Commerce,67,65,79,56,75,85,95,2.98,2.28,2.78,2.2,2.74,Business Development Manager,1.0,,Actuary,1.0,Economist,1.0
Hemani Balay,Male,Commerce,78,91,68,81,51,64,72,2.81,2.63,2.53,2.33,2.42,Business Development Manager,1.0,,Actuary,1.0,Economist,1.0
Karan Venkatesh,Female,Commerce,85,68,100,88,37,62,61,2.0,3.31,3.47,2.97,2.75,Chartered Accountant,1.0,"CA Foundation, B.Com, M.Com, MBA Finance",Business Development Manager,0.946,Economist,0.946
Thomas Dutt,Male,Science(PCM),83,86,100,83,91,75,33,2.63,2.11,2.86,3.38,2.94,Software Engineer,1.0,"B.Tech CSE, B.E. Computer Science, M.Tech, B.Sc Computer Science",Nuclear Engineer,0.9782,Automobile Engineer,0.9782
Lopa Gupta,Male,Humanities/Arts,90,71,54,98,96,50,48,2.1,3.23,2.29,2.83,2.82,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.9622,Historian,0.9622
Yagnesh Edwin,Male,Science(PCB),66,87,65,60,69,69,68,2.46,2.27,3.14,2.25,2.08,Medical Doctor (MBBS),1.0,"MBBS, BDS, MD/MS, B.Sc Nursing",Forensic Scientist,0.9895,Geneticist,0.9895
Gaurang Bali,Male,Science(PCB),76,91,56,100,98,54,33,3.13,3.06,2.97,3.45,3.32,Medical Doctor (MBBS),1.0,"MBBS, BDS, MD/MS, B.Sc Nursing",Forensic Scientist,0.9065,Geneticist,0.9065
Ekapad Raja,Male,Science(PCM),81,77,61,73,100,100,76,3.42,2.13,2.91,3.11,2.86,Software Engineer,1.0,"B.Tech CSE, B.E. Computer Science, M.Tech, B.Sc Computer Science",Nuclear Engineer,0.9317,Automobile Engineer,0.9317
Lakshit Mahajan,Female,Science(PCB),62,79,80,100,42,47,86,2.52,1.97,2.51,3.19,2.03,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Anjali Chacko,Male,Humanities/Arts,79,78,76,97,64,34,50,3.08,2.06,2.44,2.8,3.5,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.9765,Historian,0.9765
Yashawini Andra,Male,Science(PCB),74,84,94,99,100,94,91,2.03,2.68,1.91,1.96,2.22,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Yagnesh Baral,Female,Science(PCM),90,98,59,54,61,100,45,2.26,2.21,2.36,2.14,2.13,Software Engineer,1.0,"B.Tech CSE, B.E. Computer Science, M.Tech, B.Sc Computer Science",Nuclear Engineer,0.9813,Automobile Engineer,0.9813
Anamika Koshy,Male,Science(PCM),78,68,100,63,62,91,100,3.22,2.57,2.47,2.48,2.54,Nuclear Engineer,1.0,,Naval Architect,1.0,Automobile Engineer,1.0
Sudiksha Maharaj,Male,Science(PCM),78,62,74,92,99,100,32,2.09,3.21,2.0,3.47,3.02,Nuclear Engineer,1.0,,Naval Architect,1.0,Automobile Engineer,1.0
Bishakha Golla,Female,Science(PCB),84,80,74,72,82,72,59,2.49,3.26,1.95,3.46,3.27,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Tanmayi Batta,Male,Humanities/Arts,65,65,61,100,31,77,33,3.22,2.15,2.67,2.7,3.42,Social Worker,1.0,,Archaeologist,1.0,Historian,1.0
Januja Prakash,Male,Science(PCB),71,61,79,73,49,68,65,3.3,3.23,2.62,3.29,2.61,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Falak Patla,Male,Commerce,77,67,100,60,36,98,87,2.36,3.29,2.75,2.91,2.83,Chartered Accountant,1.0,"CA Foundation, B.Com, M.Com, MBA Finance",Business Development Manager,0.9907,Economist,0.9907
Krisha Ahuja,Male,Science(PCM),88,68,100,64,42,79,86,3.46,2.3,1.97,2.33,3.32,Nuclear Engineer,1.0,,Naval Architect,1.0,Automobile Engineer,1.0
Janya Bedi,Female,Science(PCB),85,62,54,65,54,66,61,3.07,3.45,2.55,2.35,2.46,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Bhavna Dube,Male,Commerce,90,61,92,63,96,30,66,2.69,1.92,2.24,2.95,2.8,Chartered Accountant,1.0,"CA Foundation, B.Com, M.Com, MBA Finance",Business Development Manager,0.9819,Economist,0.9819
Watika Tara,Female,Science(PCB),89,87,68,100,45,99,40,2.04,2.65,3.2,2.53,3.31,Medical Doctor (MBBS),1.0,"MBBS, BDS, MD/MS, B.Sc Nursing",Forensic Scientist,0.9777,Geneticist,0.9777
Radha Mahal,Female,Commerce,71,96,94,33,59,62,82,3.47,2.03,2.95,2.41,3.43,Business Development Manager,1.0,,Actuary,1.0,Economist,1.0
Rachita Datta,Male,Science(PCB),67,91,94,100,90,58,80,2.18,2.67,2.12,1.92,2.06,Medical Doctor (MBBS),1.0,"MBBS, BDS, MD/MS, B.Sc Nursing",Forensic Scientist,0.9746,Geneticist,0.9746
Lajita Garde,Male,Commerce,79,78,60,89,90,42,76,2.83,4.54,2.55,3.57,1.78,Chartered Accountant,1.0,"CA Foundation, B.Com, M.Com, MBA Finance",Business Development Manager,0.8778,Economist,0.8778
Udyati Goswami,Female,Science(PCB),92,64,87,46,94,77,100,2.86,2.94,3.06,2.96,3.04,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Harish Chacko,Male,Science(PCB),93,71,84,87,58,99,43,2.17,3.11,3.41,2.49,3.04,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Reyansh Soman,Male,Commerce,78,65,73,50,45,64,64,1.38,3.17,3.04,3.01,2.86,Chartered Accountant,1.0,"CA Foundation, B.Com, M.Com, MBA Finance",Business Development Manager,0.943,Economist,0.943
Upasna Bumb,Female,Humanities/Arts,62,72,76,100,88,36,85,2.87,2.27,2.94,2.79,2.31,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.9379,Historian,0.9379
Chakrika Sathe,Female,Humanities/Arts,79,69,76,57,65,45,60,2.5,3.07,2.13,2.37,3.48,Social Worker,1.0,,Archaeologist,1.0,Historian,1.0
Qarin Raghavan,Male,Science(PCB),72,63,53,100,64,66,57,3.37,2.34,2.75,3.25,3.37,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Tarak Gulati,Male,Commerce,75,74,67,95,96,50,34,2.39,2.9,2.22,2.23,3.03,Business Development Manager,1.0,,Actuary,1.0,Economist,1.0
Bina Patla,Female,Science(PCB),89,95,78,57,98,50,100,3.05,2.47,2.39,3.42,2.51,Medical Doctor (MBBS),1.0,"MBBS, BDS, MD/MS, B.Sc Nursing",Forensic Scientist,0.9497,Geneticist,0.9497
Shaurya Chaudhuri,Male,Science(PCB),82,82,53,93,44,85,40,3.04,2.84,2.94,3.13,2.28,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Pavani Kibe,Female,Commerce,93,74,54,60,90,95,33,2.86,2.5,2.68,2.22,2.25,Business Development Manager,1.0,,Actuary,1.0,Economist,1.0
Maanav Mangal,Male,Commerce,91,65,63,38,31,83,61,2.91,2.25,2.87,3.5,2.9,Business Development Manager,1.0,,Actuary,1.0,Economist,1.0
Ethan Sami,Male,Humanities/Arts,91,82,40,53,36,94,73,2.72,3.49,2.26,2.73,3.32,Social Worker,1.0,,Archaeologist,1.0,Historian,1.0
Advay Purohit,Female,Science(PCB),80,73,94,57,46,69,62,2.84,3.3,2.4,2.05,2.43,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Eta Contractor,Male,Science(PCB),92,66,34,100,64,63,100,3.01,3.34,2.87,2.96,2.23,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Rehaan Doshi,Female,Commerce,73,79,100,47,78,36,92,2.66,3.26,3.43,2.94,2.06,Chartered Accountant,1.0,"CA Foundation, B.Com, M.Com, MBA Finance",Business Development Manager,0.9275,Economist,0.9275
Ekalinga Ravi,Male,Science(PCB),78,61,78,100,57,31,97,2.11,2.07,2.12,3.32,3.15,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Dipta Das,Female,Science(PCM),61,93,51,71,81,70,92,2.76,2.43,3.06,2.52,2.58,Software Engineer,1.0,"B.Tech CSE, B.E. Computer Science, M.Tech, B.Sc Computer Science",Nuclear Engineer,0.9749,Automobile Engineer,0.9749
Maya Mandal,Male,Humanities/Arts,94,67,30,56,30,76,88,2.56,3.47,2.32,2.97,3.13,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.991,Historian,0.991
Chatura Yogi,Female,Commerce,88,64,45,92,94,66,72,2.14,3.44,2.34,3.19,2.8,Chartered Accountant,1.0,"CA Foundation, B.Com, M.Com, MBA Finance",Business Development Manager,0.9555,Economist,0.9555
Leela Narain,Male,Humanities/Arts,97,84,69,100,54,95,94,3.08,2.76,2.29,2.18,2.61,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.9884,Historian,0.9884
Avi Oommen,Male,Commerce,98,86,100,96,33,99,50,2.74,3.35,3.12,2.36,2.97,Business Development Manager,1.0,,Actuary,1.0,Economist,1.0
Indira Zachariah,Male,Commerce,60,92,100,47,33,78,97,2.38,2.92,2.45,2.85,2.26,Chartered Accountant,1.0,"CA Foundation, B.Com, M.Com, MBA Finance",Business Development Manager,0.9916,Economist,0.9916
Yamini De,Female,Science(PCB),81,90,58,86,87,81,70,2.91,2.39,2.36,2.09,2.29,Medical Doctor (MBBS),1.0,"MBBS, BDS, MD/MS, B.Sc Nursing",Forensic Scientist,0.9959,Geneticist,0.9959
Divya Bora,Female,Commerce,77,77,63,83,50,41,91,3.31,3.11,3.02,2.54,2.37,Chartered Accountant,1.0,"CA Foundation, B.Com, M.Com, MBA Finance",Business Development Manager,0.997,Economist,0.997
Yashvi Raval,Male,Science(PCM),68,67,68,99,100,44,34,1.92,2.46,2.77,2.05,2.62,Nuclear Engineer,1.0,,Naval Architect,1.0,Automobile Engineer,1.0
Yachana Bajwa,Male,Science(PCB),64,86,52,65,32,85,88,2.45,2.63,3.02,2.03,3.36,Medical Doctor (MBBS),1.0,"MBBS, BDS, MD/MS, B.Sc Nursing",Forensic Scientist,0.9747,Geneticist,0.9747
Simon Nadkarni,Male,Commerce,60,98,49,76,56,54,31,2.83,2.04,3.22,1.9,3.34,Business Development Manager,1.0,,Actuary,1.0,Economist,1.0
Meera Rama,Female,Humanities/Arts,63,63,64,100,78,99,86,3.25,2.42,2.71,3.0,2.35,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.9492,Historian,0.9492
Darpan Nanda,Male,Science(PCB),91,67,96,98,100,92,41,3.43,2.42,2.89,3.46,3.48,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Simon Mahajan,Female,Commerce,78,78,100,41,92,99,88,3.21,2.71,2.93,3.02,1.94,Chartered Accountant,1.0,"CA Foundation, B.Com, M.Com, MBA Finance",Business Development Manager,0.9808,Economist,0.9808
Laban Bhardwaj,Male,Science(PCB),66,75,69,100,55,75,72,2.76,2.74,2.88,3.24,3.19,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Anirudh Sahni,Female,Science(PCB),87,74,79,73,67,96,84,2.57,2.56,3.24,2.52,2.47,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Fiyaz Nath,Female,Science(PCM),97,65,90,89,73,60,33,3.29,2.43,2.88,2.79,3.39,Nuclear Engineer,1.0,,Naval Architect,1.0,Automobile Engineer,1.0
Raksha Wali,Female,Science(PCM),96,83,98,96,74,54,43,2.31,3.45,1.94,2.13,2.7,Software Engineer,1.0,"B.Tech CSE, B.E. Computer Science, M.Tech, B.Sc Computer Science",Nuclear Engineer,0.925,Automobile Engineer,0.925
Avi Arora,Male,Science(PCM),83,60,100,47,73,46,52,2.64,3.11,2.39,2.82,3.41,Nuclear Engineer,1.0,,Naval Architect,1.0,Automobile Engineer,1.0
Ekanta Seshadri,Male,Science(PCB),90,93,91,81,36,81,55,2.89,2.19,3.39,2.98,2.47,Medical Doctor (MBBS),1.0,"MBBS, BDS, MD/MS, B.Sc Nursing",Forensic Scientist,0.9665,Geneticist,0.9665
Udyati Patil,Male,Commerce,84,69,46,72,82,51,58,1.98,2.96,2.97,2.66,2.48,Chartered Accountant,1.0,"CA Foundation, B.Com, M.Com, MBA Finance",Business Development Manager,0.9888,Economist,0.9888
Raagini Bose,Male,Humanities/Arts,65,72,34,100,54,93,96,2.7,2.02,2.44,2.51,2.49,Social Worker,1.0,,Archaeologist,1.0,Historian,1.0
Qarin Padmanabhan,Female,Science(PCB),96,81,57,67,49,65,94,2.11,1.98,2.52,3.11,3.45,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Isaiah Mittal,Female,Science(PCM),80,85,92,95,100,93,43,3.28,2.11,2.63,2.9,2.65,Software Engineer,1.0,"B.Tech CSE, B.E. Computer Science, M.Tech, B.Sc Computer Science",Nuclear Engineer,0.9415,Automobile Engineer,0.9415
Wahab Om,Male,Commerce,81,94,63,97,95,82,65,3.0,2.9,3.3,2.57,2.31,Business Development Manager,1.0,,Actuary,1.0,Economist,1.0
Vansha Bhavsar,Female,Commerce,72,77,75,73,32,42,51,2.01,2.39,2.75,2.91,2.46,Chartered Accountant,1.0,"CA Foundation, B.Com, M.Com, MBA Finance",Business Development Manager,0.9991,Economist,0.9991
Ati Bobal,Male,Humanities/Arts,96,76,47,89,72,74,40,2.59,2.44,3.31,3.07,2.05,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.9458,Historian,0.9458
Ishita Karan,Male,Science(PCB),90,79,87,100,82,62,89,1.99,3.18,2.35,2.35,3.41,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Kritika Kanda,Female,Commerce,67,69,76,58,49,71,44,2.05,2.63,2.64,3.37,3.12,Business Development Manager,1.0,,Actuary,1.0,Economist,1.0
Henry Parmer,Male,Science(PCB),84,85,43,100,61,74,100,2.89,3.27,2.36,2.2,3.2,Medical Doctor (MBBS),1.0,"MBBS, BDS, MD/MS, B.Sc Nursing",Forensic Scientist,0.9389,Geneticist,0.9389
Henry Halder,Male,Humanities/Arts,82,76,94,61,46,59,60,2.21,2.51,2.54,1.97,3.09,Social Worker,1.0,,Archaeologist,1.0,Historian,1.0
Madhavi Vaidya,Female,Humanities/Arts,73,75,46,77,71,86,35,2.69,2.9,2.86,2.79,3.49,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.9975,Historian,0.9975
Sai Chacko,Female,Humanities/Arts,73,76,56,100,50,72,41,2.6,2.02,2.47,2.79,2.03,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.9999,Historian,0.9999
Jeremiah Sani,Female,Commerce,77,90,100,84,81,63,64,3.11,3.18,2.37,2.99,2.87,Chartered Accountant,1.0,"CA Foundation, B.Com, M.Com, MBA Finance",Business Development Manager,0.9633,Economist,0.9633
Omaja Goda,Male,Commerce,87,87,100,58,75,99,30,1.57,3.65,3.31,2.84,2.62,Chartered Accountant,1.0,"CA Foundation, B.Com, M.Com, MBA Finance",Business Development Manager,0.9328,Economist,0.9328
Krish Varty,Male,Science(PCM),83,97,100,60,41,91,98,2.61,2.56,3.01,3.3,2.8,Software Engineer,1.0,"B.Tech CSE, B.E. Computer Science, M.Tech, B.Sc Computer Science",Nuclear Engineer,0.9774,Automobile Engineer,0.9774
Ira Bali,Male,Commerce,67,76,100,74,52,40,71,2.51,2.62,2.22,2.45,3.22,Business Development Manager,1.0,,Actuary,1.0,Economist,1.0
Ranveer Radhakrishnan,Male,Science(PCB),74,69,45,100,43,91,68,2.62,3.81,2.29,3.92,3.16,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Ekalinga Khanna,Male,Science(PCM),64,63,50,32,100,47,62,2.78,1.9,2.68,1.91,1.96,Nuclear Engineer,1.0,,Naval Architect,1.0,Automobile Engineer,1.0
Lakshit Kapur,Female,Humanities/Arts,88,81,84,100,86,100,42,2.76,2.44,2.84,2.85,2.19,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.9774,Historian,0.9774
Hamsini Saraf,Male,Commerce,67,91,81,98,89,48,37,3.13,2.05,2.07,2.82,2.71,Business Development Manager,1.0,,Actuary,1.0,Economist,1.0
Siya Talwar,Female,Humanities/Arts,64,82,38,53,95,64,89,2.75,3.11,2.72,2.06,3.26,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.9854,Historian,0.9854
Chandani Din,Male,Science(PCM),88,65,100,65,56,63,62,3.12,3.48,3.16,2.12,3.1,Nuclear Engineer,1.0,,Naval Architect,1.0,Automobile Engineer,1.0
Zehaan Chatterjee,Male,Science(PCM),83,95,91,82,82,60,86,2.99,1.92,3.29,2.86,1.92,Software Engineer,1.0,"B.Tech CSE, B.E. Computer Science, M.Tech, B.Sc Computer Science",Nuclear Engineer,0.9269,Automobile Engineer,0.9269
Harshil Nagar,Male,Humanities/Arts,84,75,69,76,52,98,87,2.24,3.43,2.78,2.86,3.2,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.9737,Historian,0.9737
Hemang Ganesh,Female,Humanities/Arts,90,91,96,100,40,86,57,2.14,3.44,3.27,3.09,2.49,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.9317,Historian,0.9317
Tejas Deshmukh,Male,Commerce,81,69,76,86,42,30,52,2.0,3.13,2.89,2.49,3.3,Chartered Accountant,1.0,"CA Foundation, B.Com, M.Com, MBA Finance",Business Development Manager,0.9731,Economist,0.9731
Shaurya Varty,Male,Commerce,74,72,63,46,97,97,67,2.6,2.13,3.08,3.32,2.93,Business Development Manager,1.0,,Actuary,1.0,Economist,1.0
Samesh Thaman,Female,Science(PCB),84,83,92,48,77,44,97,2.32,3.2,3.22,2.68,2.42,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Kashish Pillai,Male,Commerce,78,73,95,36,52,72,33,2.71,2.3,2.05,3.18,2.59,Business Development Manager,1.0,,Actuary,1.0,Economist,1.0
Peter Batta,Female,Science(PCB),95,77,93,90,50,61,64,2.03,2.22,3.44,2.13,3.11,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Reyansh Nigam,Male,Science(PCB),86,83,38,94,93,94,100,2.54,2.38,2.21,2.05,3.27,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Damini Om,Male,Science(PCM),65,80,98,96,64,50,36,2.15,3.01,2.6,2.04,2.79,Software Engineer,1.0,"B.Tech CSE, B.E. Computer Science, M.Tech, B.Sc Computer Science",Nuclear Engineer,0.9781,Automobile Engineer,0.9781
Madhav Dara,Male,Science(PCB),72,78,34,90,30,98,69,2.59,3.38,2.51,2.33,2.36,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Janani Dixit,Female,Commerce,62,60,71,50,83,40,86,3.05,3.42,2.33,2.93,2.2,Chartered Accountant,1.0,"CA Foundation, B.Com, M.Com, MBA Finance",Business Development Manager,0.9421,Economist,0.9421
Hemangini Suresh,Male,Commerce,84,80,76,36,53,90,38,2.38,3.4,2.22,3.11,2.89,Chartered Accountant,1.0,"CA Foundation, B.Com, M.Com, MBA Finance",Business Development Manager,0.9979,Economist,0.9979
Noah Dara,Male,Science(PCB),75,90,55,46,94,58,62,2.74,3.46,3.05,3.01,2.31,Medical Doctor (MBBS),1.0,"MBBS, BDS, MD/MS, B.Sc Nursing",Forensic Scientist,0.9212,Geneticist,0.9212
Leena Sampath,Male,Science(PCB),91,77,39,91,41,47,96,2.08,2.87,1.97,2.09,3.28,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Darpan Narayan,Male,Humanities/Arts,90,80,34,80,48,76,77,2.83,2.95,2.67,2.7,1.93,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.962,Historian,0.962
Dhriti Kumer,Male,Humanities/Arts,73,91,47,86,49,89,41,1.93,3.5,3.46,3.01,2.13,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.9129,Historian,0.9129
Samarth Muni,Female,Commerce,68,86,100,37,61,62,96,2.53,2.11,2.11,1.98,3.21,Business Development Manager,1.0,,Actuary,1.0,Economist,1.0
Avni Srivastava,Female,Humanities/Arts,88,62,60,73,61,54,96,3.48,2.95,1.94,2.99,3.08,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.934,Historian,0.934
Daksha Padmanabhan,Female,Humanities/Arts,63,83,67,100,57,86,89,2.93,2.33,1.94,2.88,1.9,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.9629,Historian,0.9629
Dalbir Mammen,Female,Science(PCB),71,77,99,72,63,81,96,2.83,2.3,3.27,2.37,3.16,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Tanveer Lall,Male,Commerce,70,96,47,82,44,96,71,3.42,2.05,1.99,2.56,2.51,Business Development Manager,1.0,,Actuary,1.0,Economist,1.0
Upasna Kothari,Female,Science(PCB),96,62,35,100,83,81,92,2.92,2.1,2.35,3.0,2.65,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Yagnesh Jain,Female,Science(PCM),94,76,53,86,65,72,95,2.6,3.35,3.17,2.58,2.61,Software Engineer,1.0,"B.Tech CSE, B.E. Computer Science, M.Tech, B.Sc Computer Science",Nuclear Engineer,0.948,Automobile Engineer,0.948
Max Amble,Male,Humanities/Arts,64,79,84,58,87,48,50,2.17,3.45,2.32,2.53,3.48,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.999,Historian,0.999
Reva Pathak,Male,Science(PCB),92,62,42,49,50,69,93,3.05,2.61,2.98,2.17,2.27,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Rayaan Setty,Male,Science(PCB),75,73,79,92,94,47,74,2.31,2.88,2.77,2.63,3.22,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Chaman Pillay,Female,Science(PCB),88,83,31,60,87,93,100,2.74,3.41,3.18,2.49,3.14,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Lucky Cheema,Male,Commerce,72,64,67,100,41,80,62,1.98,2.9,3.43,2.43,2.91,Business Development Manager,1.0,,Actuary,1.0,Economist,1.0
